iter	RMSE
0	218828.8733
1	215593.413
2	212394.5507
3	209387.3277
4	206458.9644
5	203766.8563
6	201140.186
7	198570.3483
8	196189.0646
9	193527.8797
10	191042.0421
11	188726.9433
12	186312.1505
13	184157.0266
14	182087.26
15	179842.5454
16	177779.9796
17	175782.4716
18	173814.5701
19	172011.5449
20	170327.7862
21	168615.4724
22	166962.9787
23	165349.1987
24	163823.1376
25	162305.5822
26	160940.9188
27	159603.328
28	158240.2763
29	156953.3899
30	155730.8885
31	154530.0932
32	153438.3736
33	152332.4275
34	151247.6993
35	150178.7887
36	149193.7293
37	148284.106
38	147245.272
39	146364.5431
40	145486.4168
41	144636.3359
42	143814.3751
43	143009.9237
44	142341.7917
45	141624.4411
46	140993.7658
47	140297.7378
48	139596.8031
49	138924.7173
50	138369.7093
51	137834.8997
52	137277.3645
53	136749.0474
54	136160.2035
55	135670.7304
56	135156.2071
57	134691.3872
58	134190.3334
59	133706.5811
60	133256.4814
61	132798.842
62	132391.1948
63	132009.9448
64	131611.7997
65	131213.4166
66	130798.9744
67	130423.6378
68	129996.9082
69	129520.5259
70	129144.7833
71	128749.4244
72	128417.2039
73	128017.7549
74	127575.8276
75	127217.7459
76	126920.5718
77	126560.1009
78	126243.7719
79	125871.0475
80	125587.1195
81	125258.4258
82	124988.8584
83	124681.298
84	124343.9104
85	124096.9736
86	123843.133
87	123549.5839
88	123278.0893
89	123020.0778
90	122736.5425
91	122518.2289
92	122258.2884
93	122032.0895
94	121782.0335
95	121564.5076
96	121337.3794
97	121085.9529
98	120902.9812
99	120671.0282
100	120416.5799
101	120216.0588
102	120026.1425
103	119872.978
104	119642.3223
105	119449.9416
106	119256.326
107	119037.1668
108	118889.2464
109	118748.302
110	118545.9165
111	118384.7295
112	118275.3211
113	118078.1627
114	117948.2831
115	117748.066
116	117639.1549
117	117492.3059
118	117351.6267
119	117170.0203
120	117077.2835
121	117026.8268
122	116886.5741
123	116766.8366
124	116759.8726
125	116683.5267
126	116605.7812
127	116457.7968
128	116388.1246
129	116219.7786
130	116082.3648
131	115963.488
132	115777.2104
133	115689.3647
134	115619.0134
135	115538.6028
136	115454.6144
137	115356.8733
138	115272.897
139	115164.1309
140	115060.6797
141	114943.5627
142	114935.8246
143	114861.2441
144	114768.2543
145	114666.5535
146	114660.5392
147	114618.6044
148	114453.2918
149	114321.8493
150	114261.6259
151	114156.6963
152	114149.8605
153	114097.9273
154	113980.2352
155	113862.5386
156	113855.3237
157	113745.2657
158	113608.2521
159	113525.1101
160	113469.3665
161	113357.9843
162	113278.152
163	113159.9807
164	113030.6627
165	113024.496
166	112898.8521
167	112790.9431
168	112649.9498
169	112644.7512
170	112515.1607
171	112506.9156
172	112417.8395
173	112306.8257
174	112203.268
175	112073.3807
176	111957.189
177	111949.9011
178	111847.4123
179	111842.5461
180	111756.1698
181	111666.6234
182	111566.0384
183	111478.4667
184	111353.0322
185	111299.9689
186	111294.5128
187	111181.1133
188	111098.0564
189	111092.8962
190	111030.7119
191	110932.1273
192	110926.4416
193	110865.0137
194	110793.6259
195	110789.3289
196	110681.2639
197	110576.2064
198	110472.2803
199	110343.0176
200	110250.3598
201	110240.3376
202	110095.5617
203	110078.1001
204	110058.5118
205	109960.6861
206	109892.1491
207	109887.4815
208	109883.5637
209	109775.8969
210	109769.4655
211	109737.8859
212	109652.052
213	109593.788
214	109536.3671
215	109410.1766
216	109325.5783
217	109238.6198
218	109183.3579
219	109179.6766
220	109095.8947
221	109037.5749
222	108936.649
223	108933.0406
224	108871.4748
225	108779.2732
226	108730.3467
227	108666.0518
228	108661.6075
229	108591.109
230	108468.5031
231	108463.4565
232	108460.1427
233	108424.8766
234	108325.7989
235	108250.0447
236	108140.9591
237	108105.3641
238	108030.7103
239	107976.7888
240	107926.7014
241	107923.5989
