iter	Passed	Remaining
0	457	547984
1	789	473153
2	1003	400260
3	1294	387142
4	1596	381522
5	1961	390407
6	2377	405135
7	2563	381908
8	2841	376064
9	3300	392736
10	3546	383366
11	3925	388610
12	4444	405813
13	4771	404217
14	5074	400908
15	5767	426830
16	6346	441623
17	6584	432398
18	6986	434257
19	7263	428538
20	7465	419134
21	7749	414934
22	7964	407550
23	8152	399477
24	8285	389409
25	8434	380830
26	8622	374617
27	8811	368840
28	8959	361779
29	9115	355488
30	9285	350155
31	9486	346243
32	9680	342330
33	9857	338049
34	9982	332288
35	10212	330210
36	10461	328836
37	10634	325193
38	10814	321948
39	10941	317312
40	11106	313949
41	11255	310333
42	11378	306165
43	11497	302076
44	11716	300728
45	11882	298097
46	12053	295688
47	12199	292790
48	12312	289213
49	12464	286672
50	12646	284922
51	12718	280777
52	12856	278225
53	13000	275899
54	13213	275080
55	13476	275311
56	13656	273846
57	13798	271678
58	13933	269455
59	14077	267476
60	14296	266945
61	14417	264622
62	14550	262596
63	14698	260890
64	14827	258910
65	14946	256807
66	15095	255274
67	15233	253587
68	15413	252654
69	15518	250508
70	15661	249037
71	15800	247547
72	15921	245802
73	16141	245608
74	16285	244282
75	16414	242763
76	16569	241658
77	16717	240473
78	16891	239683
79	17064	238902
80	17378	240074
81	17563	239460
82	17696	238153
83	17829	236881
84	17991	236000
85	18163	235286
86	18337	234592
87	18492	233676
88	18670	233065
89	18836	232321
90	18986	231379
91	19168	230857
92	19342	230236
93	19496	229397
94	19740	229616
95	19892	228758
96	20053	228033
97	20181	226939
98	20343	226241
99	20494	225437
100	20638	224572
101	20766	223541
102	20888	222469
103	21006	221376
104	21132	220386
105	21257	219396
106	21386	218467
107	21501	217405
108	21636	216567
109	21803	216056
110	21965	215495
111	22069	214388
112	22155	213123
113	22286	212307
114	22430	211630
115	22593	211131
116	22725	210353
117	22919	210159
118	23080	209662
119	23197	208773
120	23400	208672
121	23564	208217
122	23847	208813
123	23995	208215
124	24035	206707
125	24227	206512
126	24691	208615
127	24848	208108
128	25021	207736
129	25175	207215
130	25369	207026
131	25526	206530
132	25751	206592
133	25927	206261
134	26117	206038
135	26263	205471
136	26466	205356
137	26706	205523
138	26876	205153
139	27057	204866
140	27260	204744
141	27414	204260
142	27456	202949
143	27667	202896
144	27822	202429
145	27962	201864
146	28027	200769
147	28196	200421
148	28406	200372
149	28614	200298
150	28976	201299
151	29239	201598
152	29271	200307
153	29615	201154
154	29813	201000
155	30018	200890
156	30099	199959
157	30318	199946
158	30496	199664
159	30753	199900
160	30977	199910
161	31220	200043
162	31489	200334
163	31680	200129
164	31877	199961
165	31925	198858
166	32101	198569
167	32356	198759
168	32547	198556
169	32595	197491
170	32799	197370
171	32909	196690
172	33083	196396
173	33312	196428
174	33529	196384
175	33749	196358
176	33937	196147
177	34038	195432
178	34261	195426
179	34284	194277
180	34482	194132
181	34736	194296
182	34916	194045
183	35179	194254
184	35383	194129
185	35588	194015
186	35662	193189
187	35899	193246
188	36167	193468
189	36199	192427
190	36415	192373
191	36693	192641
192	36827	192151
193	37149	192638
194	37323	192357
195	37408	191623
196	37680	191846
197	37877	191685
198	38097	191635
199	38314	191572
200	38526	191484
201	38686	191136
202	38946	191278
203	38977	190303
204	39146	190002
205	39343	189841
206	39517	189568
207	39578	188759
208	39601	187776
209	39818	187717
210	39911	187074
211	40077	186775
212	40233	186431
213	40461	186427
214	40688	186407
215	40920	186416
216	41114	186245
217	41274	185923
218	41434	185604
219	41454	184661
220	41619	184370
221	41848	184360
222	42026	184123
223	42078	183339
224	42145	182631
225	42320	182389
226	42447	181946
227	42642	181790
228	42716	181126
229	42860	180760
230	43070	180672
231	43108	179867
232	43123	178969
233	43320	178837
234	43583	178971
235	43798	178905
236	43937	178531
237	44044	178026
238	44196	177711
239	44353	177415
240	44526	177181
241	44562	176409
242	44735	176179
243	44903	175934
244	45069	175679
245	45230	175406
246	45360	175012
247	45531	174780
248	45650	174350
249	45818	174111
250	45857	173382
251	46013	173098
252	46047	172359
253	46211	172109
254	46356	171790
255	46530	171581
256	46714	171407
257	46938	171379
258	47083	171062
259	47222	170727
260	47274	170080
261	47495	170042
262	47559	169443
263	47758	169326
264	47953	169195
265	48091	168861
266	48283	168720
267	48422	168396
268	48556	168052
269	48733	167861
270	48870	167531
271	48909	166868
272	49043	166533
273	49176	166193
274	49356	166016
275	49481	165656
276	49561	165144
277	49616	164556
278	49761	164266
279	49779	163561
280	49960	163394
281	50078	163021
282	50209	162693
283	50400	162560
284	50623	162528
285	50924	162745
286	51051	162404
287	51216	162185
288	51372	161939
289	51604	161931
290	51784	161759
291	51917	161442
292	52040	161093
293	52180	160802
294	52285	160402
295	52447	160176
296	52635	160032
297	52808	159843
298	52929	159495
299	53067	159202
300	53222	158961
301	53389	158752
302	53513	158421
303	53779	158506
304	54015	158505
305	54049	157909
306	54199	157655
307	54336	157365
308	54531	157240
309	54664	156940
310	54840	156762
311	54962	156430
312	55132	156238
313	55168	155665
314	55368	155560
315	55495	155246
316	55648	155007
317	55801	154770
318	55960	154548
319	56259	154712
320	56450	154580
321	56488	154028
322	56660	153842
323	56770	153490
324	56888	153162
325	57033	152906
326	57170	152630
327	57207	152087
328	57391	151939
329	57466	151503
330	57617	151268
331	57754	150996
332	57903	150757
333	58012	150416
334	58165	150189
335	58316	149956
336	58454	149690
337	58615	149486
338	58755	149229
339	58918	149028
340	59090	148852
341	59234	148605
342	59364	148324
343	59525	148120
344	59702	147958
345	60001	148096
346	60170	147911
347	60323	147688
348	60388	147250
349	60511	146956
350	60623	146636
351	60778	146420
352	60936	146212
353	61104	146029
354	61231	145748
355	61358	145466
356	61416	145024
357	61569	144808
358	61743	144642
359	61877	144379
360	61982	144053
361	62137	143844
362	62277	143597
363	62464	143463
364	62603	143216
365	62756	143003
366	62900	142767
367	63030	142502
368	63168	142257
369	63384	142187
370	63692	142321
371	63839	142093
372	63949	141786
373	64157	141694
374	64290	141438
375	64435	141209
376	64625	141078
377	64812	140940
378	64988	140780
379	65170	140630
380	65310	140391
381	65470	140195
382	65612	139962
383	65829	139887
384	66034	139788
385	66178	139556
386	66348	139382
387	66592	139363
388	66775	139216
389	66967	139087
390	67175	138989
391	67455	139041
392	67735	139091
393	67830	138759
394	67965	138511
395	68146	138357
396	68379	138309
397	68616	138267
398	68790	138097
399	69014	138029
400	69236	137954
401	69458	137880
402	69664	137773
403	69887	137699
404	70079	137562
405	70231	137350
406	70342	137054
407	70540	136930
408	70761	136852
409	70912	136637
410	71037	136371
411	71206	136190
412	71449	136152
413	71545	135832
414	71672	135572
415	71858	135425
416	71987	135170
417	72161	135001
418	72299	134763
419	72441	134533
420	72551	134246
421	72645	133930
422	72915	133936
423	73050	133696
424	73140	133373
425	73306	133190
426	73482	133025
427	73604	132762
428	73690	132436
429	73819	132187
430	73931	131910
431	74105	131742
432	74208	131449
433	74305	131147
434	74456	130940
435	74569	130667
436	74689	130407
437	74827	130179
438	74939	129906
439	75033	129603
440	75202	129429
441	75357	129232
442	75597	129181
443	75743	128968
